year,core_drone_env,strict_noagri,env_only,drone_only,field23_envsci,all_works,sub_fauna,sub_forest,sub_water,sub_air,sub_wildfire,sub_conservation,HR_core,HR_all,complete_year
2000,12,11,55124,560,114093,2859065,6,5,8,0,0,1,0,0,1
2001,16,13,56414,585,103332,2818431,12,9,8,0,1,0,0,0,1
2002,14,12,61900,632,113747,3050120,9,4,4,1,1,1,0,0,1
2003,18,17,68251,747,124358,3336963,11,8,11,2,1,0,0,0,1
2004,22,22,74751,976,133188,3609553,21,10,8,1,1,2,0,0,1
2005,28,24,82429,967,146190,3845572,19,10,9,0,2,4,0,3176,1
2006,37,35,91508,1134,160355,4178171,12,16,7,1,14,2,0,3835,1
2007,43,38,100554,1302,171031,4420227,25,17,10,8,8,1,0,4755,1
2008,44,38,110150,1465,184773,4844941,17,7,6,2,12,1,0,6456,1
2009,55,48,120571,1694,202040,5126531,23,21,15,3,11,1,0,7275,1
2010,55,48,132122,1904,217628,5415093,27,14,23,7,8,3,0,7775,1
2011,75,65,140872,2194,227361,5684721,27,19,22,4,9,4,0,8367,1
2012,105,84,151365,2763,242276,5916987,33,29,39,11,9,4,0,8778,1
2013,157,124,163293,3478,256633,6187616,60,55,64,13,9,12,0,8803,1
2014,185,132,169824,3948,265087,6383216,56,62,82,9,12,16,0,9278,1
2015,330,266,170288,4811,261721,6450528,100,114,126,28,25,33,0,9386,1
2016,507,394,170654,5887,258974,6461027,100,178,185,32,26,28,2,10105,1
2017,642,502,171857,6516,253576,6145813,123,258,277,55,18,38,1,9870,1
2018,906,659,182993,8076,261409,5995254,181,358,324,70,45,55,1,10719,1
2019,1248,926,200053,9779,272075,6258798,209,537,441,79,56,79,5,10229,1
2020,1596,1155,226619,11394,287808,6602263,234,686,592,119,85,98,5,11037,1
2021,1959,1445,242227,12500,286429,6126873,313,872,674,129,108,123,9,11502,1
2022,2106,1550,244570,13379,274473,5606541,312,1030,731,148,132,117,8,11531,1
2023,2369,1696,260652,15001,284270,5743340,343,1119,743,175,163,177,8,11643,1
2024,3150,2188,303938,18611,307291,6073854,422,1426,883,203,225,245,5,12081,1
2025,4747,3309,421237,25662,368095,7188012,547,2079,1252,300,302,441,18,13373,1
2026,3775,2642,340677,20717,280645,5569632,453,1741,927,212,253,326,0,0,0
