series,year,count
core_drone_env,2000,12
core_drone_env,2001,16
core_drone_env,2002,14
core_drone_env,2003,18
core_drone_env,2004,22
core_drone_env,2005,28
core_drone_env,2006,37
core_drone_env,2007,43
core_drone_env,2008,44
core_drone_env,2009,55
core_drone_env,2010,55
core_drone_env,2011,75
core_drone_env,2012,105
core_drone_env,2013,157
core_drone_env,2014,185
core_drone_env,2015,330
core_drone_env,2016,507
core_drone_env,2017,642
core_drone_env,2018,906
core_drone_env,2019,1248
core_drone_env,2020,1596
core_drone_env,2021,1959
core_drone_env,2022,2106
core_drone_env,2023,2369
core_drone_env,2024,3150
core_drone_env,2025,4747
core_drone_env,2026,3775
env_only,2000,55124
env_only,2001,56414
env_only,2002,61900
env_only,2003,68251
env_only,2004,74751
env_only,2005,82429
env_only,2006,91508
env_only,2007,100554
env_only,2008,110150
env_only,2009,120571
env_only,2010,132122
env_only,2011,140872
env_only,2012,151365
env_only,2013,163293
env_only,2014,169824
env_only,2015,170288
env_only,2016,170654
env_only,2017,171857
env_only,2018,182993
env_only,2019,200053
env_only,2020,226619
env_only,2021,242227
env_only,2022,244570
env_only,2023,260652
env_only,2024,303938
env_only,2025,421237
env_only,2026,340677
drone_only,2000,560
drone_only,2001,585
drone_only,2002,632
drone_only,2003,747
drone_only,2004,976
drone_only,2005,967
drone_only,2006,1134
drone_only,2007,1302
drone_only,2008,1465
drone_only,2009,1694
drone_only,2010,1904
drone_only,2011,2194
drone_only,2012,2763
drone_only,2013,3478
drone_only,2014,3948
drone_only,2015,4811
drone_only,2016,5887
drone_only,2017,6516
drone_only,2018,8076
drone_only,2019,9779
drone_only,2020,11394
drone_only,2021,12500
drone_only,2022,13379
drone_only,2023,15001
drone_only,2024,18611
drone_only,2025,25662
drone_only,2026,20717
sub_fauna,2000,6
sub_fauna,2001,12
sub_fauna,2002,9
sub_fauna,2003,11
sub_fauna,2004,21
sub_fauna,2005,19
sub_fauna,2006,12
sub_fauna,2007,25
sub_fauna,2008,17
sub_fauna,2009,23
sub_fauna,2010,27
sub_fauna,2011,27
sub_fauna,2012,33
sub_fauna,2013,60
sub_fauna,2014,56
sub_fauna,2015,100
sub_fauna,2016,100
sub_fauna,2017,123
sub_fauna,2018,181
sub_fauna,2019,209
sub_fauna,2020,234
sub_fauna,2021,313
sub_fauna,2022,312
sub_fauna,2023,343
sub_fauna,2024,422
sub_fauna,2025,547
sub_fauna,2026,453
sub_forest,2000,5
sub_forest,2001,9
sub_forest,2002,4
sub_forest,2003,8
sub_forest,2004,10
sub_forest,2005,10
sub_forest,2006,16
sub_forest,2007,17
sub_forest,2008,7
sub_forest,2009,21
sub_forest,2010,14
sub_forest,2011,19
sub_forest,2012,29
sub_forest,2013,55
sub_forest,2014,62
sub_forest,2015,114
sub_forest,2016,178
sub_forest,2017,258
sub_forest,2018,358
sub_forest,2019,537
sub_forest,2020,686
sub_forest,2021,872
sub_forest,2022,1030
sub_forest,2023,1119
sub_forest,2024,1426
sub_forest,2025,2079
sub_forest,2026,1741
sub_water,2000,8
sub_water,2001,8
sub_water,2002,4
sub_water,2003,11
sub_water,2004,8
sub_water,2005,9
sub_water,2006,7
sub_water,2007,10
sub_water,2008,6
sub_water,2009,15
sub_water,2010,23
sub_water,2011,22
sub_water,2012,39
sub_water,2013,64
sub_water,2014,82
sub_water,2015,126
sub_water,2016,185
sub_water,2017,277
sub_water,2018,324
sub_water,2019,441
sub_water,2020,592
sub_water,2021,674
sub_water,2022,731
sub_water,2023,743
sub_water,2024,883
sub_water,2025,1252
sub_water,2026,927
sub_air,2000,0
sub_air,2001,0
sub_air,2002,1
sub_air,2003,2
sub_air,2004,1
sub_air,2005,0
sub_air,2006,1
sub_air,2007,8
sub_air,2008,2
sub_air,2009,3
sub_air,2010,7
sub_air,2011,4
sub_air,2012,11
sub_air,2013,13
sub_air,2014,9
sub_air,2015,28
sub_air,2016,32
sub_air,2017,55
sub_air,2018,70
sub_air,2019,79
sub_air,2020,119
sub_air,2021,129
sub_air,2022,148
sub_air,2023,175
sub_air,2024,203
sub_air,2025,300
sub_air,2026,212
sub_wildfire,2000,0
sub_wildfire,2001,1
sub_wildfire,2002,1
sub_wildfire,2003,1
sub_wildfire,2004,1
sub_wildfire,2005,2
sub_wildfire,2006,14
sub_wildfire,2007,8
sub_wildfire,2008,12
sub_wildfire,2009,11
sub_wildfire,2010,8
sub_wildfire,2011,9
sub_wildfire,2012,9
sub_wildfire,2013,9
sub_wildfire,2014,12
sub_wildfire,2015,25
sub_wildfire,2016,26
sub_wildfire,2017,18
sub_wildfire,2018,45
sub_wildfire,2019,56
sub_wildfire,2020,85
sub_wildfire,2021,108
sub_wildfire,2022,132
sub_wildfire,2023,163
sub_wildfire,2024,225
sub_wildfire,2025,302
sub_wildfire,2026,253
sub_conservation,2000,1
sub_conservation,2001,0
sub_conservation,2002,1
sub_conservation,2003,0
sub_conservation,2004,2
sub_conservation,2005,4
sub_conservation,2006,2
sub_conservation,2007,1
sub_conservation,2008,1
sub_conservation,2009,1
sub_conservation,2010,3
sub_conservation,2011,4
sub_conservation,2012,4
sub_conservation,2013,12
sub_conservation,2014,16
sub_conservation,2015,33
sub_conservation,2016,28
sub_conservation,2017,38
sub_conservation,2018,55
sub_conservation,2019,79
sub_conservation,2020,98
sub_conservation,2021,123
sub_conservation,2022,117
sub_conservation,2023,177
sub_conservation,2024,245
sub_conservation,2025,441
sub_conservation,2026,326
field23_envsci,2000,114093
field23_envsci,2001,103332
field23_envsci,2002,113747
field23_envsci,2003,124358
field23_envsci,2004,133188
field23_envsci,2005,146190
field23_envsci,2006,160355
field23_envsci,2007,171031
field23_envsci,2008,184773
field23_envsci,2009,202040
field23_envsci,2010,217628
field23_envsci,2011,227361
field23_envsci,2012,242276
field23_envsci,2013,256633
field23_envsci,2014,265087
field23_envsci,2015,261721
field23_envsci,2016,258974
field23_envsci,2017,253576
field23_envsci,2018,261409
field23_envsci,2019,272075
