model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,5969.75,5315.46,5940.18,6615.1,0.0830
exponential,2,2027,7713.45,6775.26,7671.81,8638.19,0.0830
exponential,3,2028,9966.48,8645.85,9924.3,11303.2,0.0830
exponential,4,2029,12877.6,11029.1,12822.8,14782,0.0830
exponential,5,2030,16639,14071,16583,19328.3,0.0830
exponential,6,2031,21499.1,17964.5,21396.3,25274.6,0.0830
exponential,7,2032,27778.8,22903.3,27652.7,33097.2,0.0830
exponential,8,2033,35892.7,29268.8,35747.8,43351.4,0.0830
exponential,9,2034,46376.5,37280.1,46180.2,56717.8,0.0830
exponential,10,2035,59922.7,47488.7,59592.9,74119,0.0830
logistic,1,2026,4941.22,4025.67,4955.18,6230.48,0.2957
logistic,2,2027,5670.11,4376.56,5686.47,7866.9,0.2957
logistic,3,2028,6363.9,4686.25,6421.58,9972.88,0.2957
logistic,4,2029,6996.6,4924.94,7061.75,12311.7,0.2957
logistic,5,2030,7551.47,5136.32,7626.27,14906.7,0.2957
logistic,6,2031,8021.62,5269.1,8093.34,17963.1,0.2957
logistic,7,2032,8408.53,5380.46,8468.46,20920.9,0.2957
logistic,8,2033,8719.35,5456.15,8749.42,24048,0.2957
logistic,9,2034,8964.25,5514.38,9010.56,26624.7,0.2957
logistic,10,2035,9154.27,5560.15,9226.43,29853,0.2957
gompertz,1,2026,5327.91,4554.07,5301.39,6259.47,0.4084
gompertz,2,2027,6515.97,5409.1,6486.71,7979.01,0.4084
gompertz,3,2028,7919.85,6354.88,7872.98,10163.3,0.4084
gompertz,4,2029,9568.7,7353.69,9511.13,12817.2,0.4084
gompertz,5,2030,11493.9,8506.62,11393.9,16202.4,0.4084
gompertz,6,2031,13728.9,9775.01,13549.6,20346.7,0.4084
gompertz,7,2032,16309.3,11152.8,16053.1,25603.6,0.4084
gompertz,8,2033,19272.4,12611.5,18888.7,32201.4,0.4084
gompertz,9,2034,22657.5,14220.8,22161.7,40245,0.4084
gompertz,10,2035,26505.1,15961.9,25854.4,50206.1,0.4084
bass,1,2026,4970.46,3825.6,4981.05,6348.25,0.2129
bass,2,2027,5631.19,3931.29,5643.49,8095.6,0.2129
bass,3,2028,6146.99,3807.14,6170.49,10236.6,0.2129
bass,4,2029,6443.7,3471.83,6491.27,12909.7,0.2129
bass,5,2030,6474.22,3030.47,6492.91,16388.8,0.2129
bass,6,2031,6233.5,2536.51,6225.19,20417.3,0.2129
bass,7,2032,5760.3,2070.16,5754.14,24747,0.2129
bass,8,2033,5124.52,1631.38,5077.57,29723.4,0.2129
bass,9,2034,4407.06,1266.02,4343.55,36073.6,0.2129
bass,10,2035,3680.97,974.798,3613.32,41794.7,0.2129
qaicc_average,1,2026,5519.24,4686.72,5519.24,6208.64,1
qaicc_average,2,2027,6851.08,5448.83,6851.08,8006.78,1
qaicc_average,3,2028,8469.37,6142.04,8469.37,10342.2,1
qaicc_average,4,2029,10456,6779.19,10456,13278.1,1
qaicc_average,5,2030,12840.7,7500.87,12840.7,17121.6,1
qaicc_average,6,2031,15727.2,8027.25,15727.2,21958.8,1
qaicc_average,7,2032,19195.2,8521.27,19195.2,28256.2,1
qaicc_average,8,2033,23514.2,9184.97,23514.2,36390.9,1
qaicc_average,9,2034,29002.7,9796.5,29002.7,46984.1,1
qaicc_average,10,2035,35783.4,10517.9,35783.4,60938.9,1
