model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,15.6243,13.3746,15.6507,18.0996,0.0000
exponential,2,2027,18.625,15.7122,18.6461,21.9203,0.0000
exponential,3,2028,22.2019,18.4117,22.2245,26.6281,0.0000
exponential,4,2029,26.4659,21.5856,26.5189,32.2955,0.0000
exponential,5,2030,31.5487,25.302,31.5603,39.1986,0.0000
exponential,6,2031,37.6078,29.6656,37.623,47.5047,0.0000
exponential,7,2032,44.8305,34.8417,44.8105,57.751,0.0000
exponential,8,2033,53.4403,40.8269,53.4227,70.165,0.0000
exponential,9,2034,63.7037,47.8064,63.7079,85.1766,0.0000
exponential,10,2035,75.9381,55.936,75.8168,103.302,0.0000
logistic,1,2026,11.6663,11.1326,11.6595,12.2518,0.9991
logistic,2,2027,12.0749,11.4617,12.0713,12.7687,0.9991
logistic,3,2028,12.388,11.7054,12.3858,13.1637,0.9991
logistic,4,2029,12.6243,11.8831,12.6239,13.4673,0.9991
logistic,5,2030,12.8005,12.0105,12.8018,13.7017,0.9991
logistic,6,2031,12.9307,12.1115,12.9325,13.8962,0.9991
logistic,7,2032,13.0264,12.1787,13.03,14.043,0.9991
logistic,8,2033,13.0963,12.2248,13.0998,14.1531,0.9991
logistic,9,2034,13.1472,12.2568,13.1517,14.2352,0.9991
logistic,10,2035,13.1842,12.2822,13.1908,14.2917,0.9991
gompertz,1,2026,13.1138,12.0425,13.1177,14.2969,0.0009
gompertz,2,2027,14.3964,13.0268,14.3944,15.9508,0.0009
gompertz,3,2028,15.6934,13.9717,15.704,17.7144,0.0009
gompertz,4,2029,16.9958,14.8974,16.9992,19.5779,0.0009
gompertz,5,2030,18.2957,15.7776,18.2764,21.4251,0.0009
gompertz,6,2031,19.5855,16.6195,19.5527,23.3019,0.0009
gompertz,7,2032,20.8584,17.4353,20.8153,25.268,0.0009
gompertz,8,2033,22.1085,18.2275,22.0583,27.278,0.0009
gompertz,9,2034,23.3306,18.9675,23.2841,29.2846,0.0009
gompertz,10,2035,24.5202,19.6465,24.4515,31.3252,0.0009
qaicc_average,1,2026,11.9819,11.391,11.9819,12.7363,1
qaicc_average,2,2027,12.5658,11.8166,12.5658,13.7233,1
qaicc_average,3,2028,13.0863,12.1379,13.0863,14.6378,1
qaicc_average,4,2029,13.5251,12.3974,13.5251,15.6087,1
qaicc_average,5,2030,13.9239,12.5966,13.9239,16.5892,1
qaicc_average,6,2031,14.2845,12.7769,14.2845,17.5827,1
qaicc_average,7,2032,14.6123,12.9,14.6123,18.4896,1
qaicc_average,8,2033,14.9472,13.0062,14.9472,19.4574,1
qaicc_average,9,2034,15.2284,13.092,15.2284,20.4214,1
qaicc_average,10,2035,15.5062,13.1825,15.5062,21.3879,1
