model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,387.388,344.71,384.838,436.552,0.0528
exponential,2,2027,494.243,432.918,491.153,563.762,0.0528
exponential,3,2028,630.572,543.731,624.613,733.597,0.0528
exponential,4,2029,804.504,683.096,795.716,949.758,0.0528
exponential,5,2030,1026.41,860.697,1016.34,1230.83,0.0528
exponential,6,2031,1309.53,1085.21,1296.58,1605.54,0.0528
exponential,7,2032,1670.74,1368.41,1649.86,2094.09,0.0528
exponential,8,2033,2131.59,1725.25,2106.11,2714.24,0.0528
exponential,9,2034,2719.55,2168.76,2684.68,3509.53,0.0528
exponential,10,2035,3469.7,2726.29,3424.74,4537.86,0.0528
logistic,1,2026,300.929,248.885,301.122,354.331,0.3441
logistic,2,2027,332.986,267.506,332.992,413.674,0.3441
logistic,3,2028,361.204,281.737,361.398,468.668,0.3441
logistic,4,2029,385.138,291.666,389.164,527.766,0.3441
logistic,5,2030,404.809,299.19,411.7,594.455,0.3441
logistic,6,2031,420.561,304.289,428.65,649.137,0.3441
logistic,7,2032,432.914,307.618,440.677,697.63,0.3441
logistic,8,2033,442.445,310.007,449.976,739.394,0.3441
logistic,9,2034,449.706,312.513,457.743,773.792,0.3441
logistic,10,2035,455.184,314.714,464.121,801.968,0.3441
gompertz,1,2026,332.255,289.307,332.879,370.741,0.3602
gompertz,2,2027,394.916,335.396,393.128,452.111,0.3602
gompertz,3,2028,465.977,385.668,462.462,558.688,0.3602
gompertz,4,2029,545.992,439.948,540.378,675.589,0.3602
gompertz,5,2030,635.475,498.412,626.179,818.459,0.3602
gompertz,6,2031,734.891,560.803,720.806,975.452,0.3602
gompertz,7,2032,844.652,624.091,827.069,1166.72,0.3602
gompertz,8,2033,965.11,687.123,942.471,1376.84,0.3602
gompertz,9,2034,1096.55,755.601,1067.84,1626.89,0.3602
gompertz,10,2035,1239.18,820.827,1203.72,1944.24,0.3602
bass,1,2026,298.608,236.287,296.115,361.524,0.2430
bass,2,2027,319.954,233.388,318.505,418.369,0.2430
bass,3,2028,328.55,219.787,330.35,469.877,0.2430
bass,4,2029,322.966,195.936,326.667,507.021,0.2430
bass,5,2030,304.137,166.241,309.597,543.287,0.2430
bass,6,2031,275.045,136.932,279.79,562.277,0.2430
bass,7,2032,239.778,110.156,245.895,561.401,0.2430
bass,8,2033,202.441,85.3635,209.056,542.458,0.2430
bass,9,2034,166.345,65.9373,171.78,510.623,0.2430
bass,10,2035,133.665,49.1799,140.356,465.662,0.2430
qaicc_average,1,2026,334.963,266.24,334.963,376.295,1
qaicc_average,2,2027,394.879,296.128,394.879,471.632,1
qaicc_average,3,2028,464.703,312.202,464.703,588.612,1
qaicc_average,4,2029,539.951,333.315,539.951,732.632,1
qaicc_average,5,2030,629.78,330.887,629.78,913.58,1
qaicc_average,6,2031,736.051,345.988,736.051,1138.95,1
qaicc_average,7,2032,858.923,349.211,858.923,1419.86,1
qaicc_average,8,2033,1005.82,361.804,1005.82,1769.94,1
qaicc_average,9,2034,1177.65,383.539,1177.65,2239.04,1
qaicc_average,10,2035,1409.06,414.184,1409.06,2834.55,1
