model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,501.616,420.175,511.502,598.119,0.5710
exponential,2,2027,671.022,554.38,686.392,825.337,0.5710
exponential,3,2028,897.64,726.929,918.717,1138.52,0.5710
exponential,4,2029,1200.79,949.636,1232.78,1570.09,0.5710
exponential,5,2030,1606.32,1241.29,1652.98,2162.17,0.5710
exponential,6,2031,2148.81,1623.58,2217.12,2985.21,0.5710
exponential,7,2032,2874.51,2123.65,2974.57,4121.54,0.5710
exponential,8,2033,3845.29,2785.17,3984.37,5690.21,0.5710
exponential,9,2034,5143.93,3661.58,5336.98,7812.1,0.5710
exponential,10,2035,6881.14,4781.41,7156.4,10779.6,0.5710
logistic,1,2026,501.616,402.146,501.164,587.177,0.1447
logistic,2,2027,671.022,523.316,670.521,806.703,0.1447
logistic,3,2028,897.64,685.864,898.772,1110.61,0.1447
logistic,4,2029,1200.79,896.104,1204.16,1531.28,0.1447
logistic,5,2030,1606.32,1169.97,1613.59,2111.45,0.1447
logistic,6,2031,2148.81,1523.51,2158.64,2910.14,0.1447
logistic,7,2032,2874.51,1984.05,2887.11,4003.71,0.1447
logistic,8,2033,3845.29,2583.82,3857.55,5512.97,0.1447
logistic,9,2034,5143.93,3359.33,5154.2,7576.09,0.1447
logistic,10,2035,6881.14,4369.28,6886.72,10384.3,0.1447
gompertz,1,2026,498.4,417.717,498.972,572.228,0.1396
gompertz,2,2027,664.41,554.05,663.693,777.656,0.1396
gompertz,3,2028,885.295,719.629,881.574,1064.26,0.1396
gompertz,4,2029,1179.06,947.924,1173.56,1447.45,0.1396
gompertz,5,2030,1569.55,1236.02,1560.42,1970.97,0.1396
gompertz,6,2031,2088.38,1620.7,2073.93,2664.57,0.1396
gompertz,7,2032,2777.41,2126.52,2750.7,3599.62,0.1396
gompertz,8,2033,3692.03,2766.27,3648.9,4861.23,0.1396
gompertz,9,2034,4905.54,3597.52,4830.79,6589.27,0.1396
gompertz,10,2035,6514.85,4677.35,6405.58,8935.65,0.1396
bass,1,2026,501.616,428.034,497.537,590.04,0.1447
bass,2,2027,671.022,560.66,666.323,801.968,0.1447
bass,3,2028,897.64,736.101,887.702,1090.07,0.1447
bass,4,2029,1200.79,968.314,1179.73,1487.4,0.1447
bass,5,2030,1606.32,1274.66,1576.12,2031.92,0.1447
bass,6,2031,2148.81,1680.92,2113.51,2798.92,0.1447
bass,7,2032,2874.51,2207.95,2836.3,3869.89,0.1447
bass,8,2033,3845.29,2901.32,3782.31,5350.66,0.1447
bass,9,2034,5143.93,3827.79,5043.27,7398.05,0.1447
bass,10,2035,6881.14,5006.14,6735.58,10228.8,0.1447
qaicc_average,1,2026,498.375,437.522,498.375,560.967,1
qaicc_average,2,2027,666.515,577.375,666.515,762.854,1
qaicc_average,3,2028,891.345,760.042,891.345,1030.59,1
qaicc_average,4,2029,1192.89,1000.45,1192.89,1397.43,1
qaicc_average,5,2030,1593.77,1314.27,1593.77,1900.32,1
qaicc_average,6,2031,2129.05,1729.05,2129.05,2591.74,1
qaicc_average,7,2032,2846.78,2264.38,2846.78,3535.37,1
qaicc_average,8,2033,3814.61,2972.14,3814.61,4823.39,1
qaicc_average,9,2034,5108.52,3918.52,5108.52,6581.8,1
qaicc_average,10,2035,6834.4,5170,6834.4,8979.85,1
