model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,667.784,613.016,668.487,718.253,0.1603
exponential,2,2027,805.125,733.798,805.952,871.38,0.1603
exponential,3,2028,970.712,874.624,971.599,1063.33,0.1603
exponential,4,2029,1170.35,1047.56,1169.58,1297.48,0.1603
exponential,5,2030,1411.06,1254.29,1409.44,1580.34,0.1603
exponential,6,2031,1701.26,1500.35,1701.11,1921.27,0.1603
exponential,7,2032,2051.16,1793.09,2052.69,2335.74,0.1603
exponential,8,2033,2473.01,2138.75,2476.08,2839.62,0.1603
exponential,9,2034,2981.63,2551.23,2984.48,3452.2,0.1603
exponential,10,2035,3594.85,3044.62,3597.22,4196.94,0.1603
logistic,1,2026,582.941,517.728,583.898,659.707,0.3440
logistic,2,2027,654.235,562.458,656.683,777.25,0.3440
logistic,3,2028,725.397,605.417,727.365,905.401,0.3440
logistic,4,2029,794.735,643.052,796.469,1051.58,0.3440
logistic,5,2030,860.729,676.387,860.813,1211.11,0.3440
logistic,6,2031,922.15,704.412,921.496,1371.57,0.3440
logistic,7,2032,978.137,726.918,979.245,1548.09,0.3440
logistic,8,2033,1028.21,745.231,1026.72,1730.5,0.3440
logistic,9,2034,1072.24,760.398,1063.67,1915.34,0.3440
logistic,10,2035,1110.38,772.798,1099.32,2098.95,0.3440
gompertz,1,2026,620.876,560.155,619.155,677.824,0.1673
gompertz,2,2027,726.211,641.69,724.444,810.018,0.1673
gompertz,3,2028,846.777,725.356,844.648,962.968,0.1673
gompertz,4,2029,984.351,827.439,980.24,1143.96,0.1673
gompertz,5,2030,1140.86,940.952,1132.12,1360.86,0.1673
gompertz,6,2031,1318.39,1059.64,1303.66,1618.94,0.1673
gompertz,7,2032,1519.16,1185.26,1498.49,1930.99,0.1673
gompertz,8,2033,1745.6,1320.71,1716.71,2301.27,0.1673
gompertz,9,2034,2000.25,1465.44,1954.36,2740.29,0.1673
gompertz,10,2035,2285.87,1617.59,2220.01,3260.37,0.1673
bass,1,2026,577.865,501.932,578.336,657.876,0.3284
bass,2,2027,640.534,530.89,643.436,769.302,0.3284
bass,3,2028,696.505,535.581,701.997,902.136,0.3284
bass,4,2029,741.739,536.736,750.279,1051.89,0.3284
bass,5,2030,772.577,522.866,783.086,1204.2,0.3284
bass,6,2031,786.32,496.667,803.706,1342.06,0.3284
bass,7,2032,781.715,460.379,804.889,1508.26,0.3284
bass,8,2033,759.186,417.165,783.666,1697.09,0.3284
bass,9,2034,720.754,370.305,747.419,1888.57,0.3284
bass,10,2035,669.667,322.749,694.669,2076.01,0.3284
qaicc_average,1,2026,618.565,562.723,618.565,666.726,1
qaicc_average,2,2027,718.051,624.647,718.051,799.858,1
qaicc_average,3,2028,830.384,683.033,830.384,958.435,1
qaicc_average,4,2029,953.491,754.541,953.491,1144.33,1
qaicc_average,5,2030,1089.75,810.902,1089.75,1365.53,1
qaicc_average,6,2031,1240.32,860.976,1240.32,1636.87,1
qaicc_average,7,2032,1417.67,877.262,1417.67,1962.61,1
qaicc_average,8,2033,1613.31,886.289,1613.31,2353.78,1
qaicc_average,9,2034,1830.25,914.692,1830.25,2822.23,1
qaicc_average,10,2035,2073.29,968.802,2073.29,3389.04,1
