model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,2816.12,2497.11,2832.3,3158.28,0.0046
exponential,2,2027,3703.66,3234.15,3730,4197.27,0.0046
exponential,3,2028,4870.93,4205.76,4905.66,5615.55,0.0046
exponential,4,2029,6406.08,5456.69,6479.21,7505.69,0.0046
exponential,5,2030,8425.06,7095.38,8549.04,10010.3,0.0046
exponential,6,2031,11080.3,9226.2,11265.8,13443.7,0.0046
exponential,7,2032,14572.5,11991.8,14837.4,17934.2,0.0046
exponential,8,2033,19165.3,15564,19528.3,23911.2,0.0046
exponential,9,2034,25205.5,20200.2,25729.5,31879.7,0.0046
exponential,10,2035,33149.4,26217.4,33865.9,42503.8,0.0046
logistic,1,2026,2135.31,1876.08,2143.05,2579.11,0.5275
logistic,2,2027,2374.78,2036.51,2391.34,3025.07,0.5275
logistic,3,2028,2578.65,2154.28,2600.27,3538.01,0.5275
logistic,4,2029,2744.79,2252,2772.87,3933.86,0.5275
logistic,5,2030,2875.39,2328.01,2916.35,4320.89,0.5275
logistic,6,2031,2975.19,2372.14,3031.37,4680.6,0.5275
logistic,7,2032,3049.82,2398.29,3110.5,4983.02,0.5275
logistic,8,2033,3104.73,2416.36,3177.92,5229.31,0.5275
logistic,9,2034,3144.64,2428.78,3222.83,5424.78,0.5275
logistic,10,2035,3173.4,2437.29,3253.67,5576.73,0.5275
gompertz,1,2026,2437.51,2112.89,2433.05,2778.19,0.1846
gompertz,2,2027,2982.93,2499.75,2971.23,3504.39,0.1846
gompertz,3,2028,3620.96,2940.72,3606.01,4364.56,0.1846
gompertz,4,2029,4361.42,3447.32,4351.55,5399.02,0.1846
gompertz,5,2030,5214.24,3992.43,5180.94,6601.46,0.1846
gompertz,6,2031,6189.33,4584.19,6128.47,8109.66,0.1846
gompertz,7,2032,7296.43,5199.06,7229.91,9851.74,0.1846
gompertz,8,2033,8544.99,5858.23,8475.09,11928.1,0.1846
gompertz,9,2034,9944,6537.17,9895.73,14506.4,0.1846
gompertz,10,2035,11501.9,7246.63,11485.7,17405.2,0.1846
bass,1,2026,2107.06,1682.1,2125.63,2594.33,0.2833
bass,2,2027,2243.1,1607.88,2280.86,3076.82,0.2833
bass,3,2028,2260.67,1465.3,2316.1,3517.02,0.2833
bass,4,2029,2156.07,1255.07,2232.58,3794.72,0.2833
bass,5,2030,1950.77,1028.58,2047.28,3944.02,0.2833
bass,6,2031,1682.65,810.122,1770.4,3960.39,0.2833
bass,7,2032,1392.58,618.259,1484.53,3796.4,0.2833
bass,8,2033,1113.6,461.697,1201.34,3480.63,0.2833
bass,9,2034,866.3,339.357,937.943,3063.18,0.2833
bass,10,2035,659.581,243.218,713.979,2600.21,0.2833
qaicc_average,1,2026,2437.42,2071.48,2437.42,2822.16,1
qaicc_average,2,2027,2952.34,2327.44,2952.34,3672.76,1
qaicc_average,3,2028,3547.54,2554.53,3547.54,4773,1
qaicc_average,4,2029,4201.9,2657.42,4201.9,6186.85,1
qaicc_average,5,2030,5038.95,2799.59,5038.95,8024.11,1
qaicc_average,6,2031,6034.52,2982.61,6034.52,10527.6,1
qaicc_average,7,2032,7236.86,3136.58,7236.86,13824.7,1
qaicc_average,8,2033,8606.51,3368.36,8606.51,18128.9,1
qaicc_average,9,2034,10402.4,3668.18,10402.4,23658.2,1
qaicc_average,10,2035,12583.5,4000.58,12583.5,30922.7,1
