model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,1705.17,1435.52,1675.88,1968.37,0.0000
exponential,2,2027,2148.67,1772.14,2113.1,2506.36,0.0000
exponential,3,2028,2707.51,2187.56,2672.05,3213.42,0.0000
exponential,4,2029,3411.71,2723.49,3366.84,4123.81,0.0000
exponential,5,2030,4299.06,3372.32,4236.75,5279.92,0.0000
exponential,6,2031,5417.2,4168.24,5324.01,6722.9,0.0000
exponential,7,2032,6826.16,5146.38,6694.14,8627.96,0.0000
exponential,8,2033,8601.58,6361.79,8415.04,11072.8,0.0000
exponential,9,2034,10838.8,7864.99,10595.9,14210.5,0.0000
exponential,10,2035,13657.8,9714.46,13348,18237.3,0.0000
logistic,1,2026,1131.36,976.611,1128.34,1323.5,0.8068
logistic,2,2027,1182.05,1000.39,1180.64,1411.71,0.8068
logistic,3,2028,1219.97,1016.53,1216.95,1498.68,0.8068
logistic,4,2029,1247.74,1027.77,1243.51,1551.59,0.8068
logistic,5,2030,1267.76,1035.6,1260.95,1590.65,0.8068
logistic,6,2031,1282.03,1040.94,1274.05,1618.95,0.8068
logistic,7,2032,1292.12,1044.59,1283.39,1639.3,0.8068
logistic,8,2033,1299.22,1047.89,1291.07,1653.82,0.8068
logistic,9,2034,1304.19,1050.08,1295.67,1664.1,0.8068
logistic,10,2035,1307.66,1051.61,1298.67,1671.36,0.8068
gompertz,1,2026,1324.7,1156.21,1337.03,1550.61,0.1459
gompertz,2,2027,1497.8,1283.39,1512.27,1804.54,0.1459
gompertz,3,2028,1678.09,1411.45,1688.51,2081.94,0.1459
gompertz,4,2029,1864.22,1540.67,1874.19,2398.54,0.1459
gompertz,5,2030,2054.84,1668.21,2069.78,2762.56,0.1459
gompertz,6,2031,2248.58,1770.35,2274.83,3160.2,0.1459
gompertz,7,2032,2444.13,1876.75,2482.72,3591.02,0.1459
gompertz,8,2033,2640.23,1990.72,2686.96,4054.99,0.1459
gompertz,9,2034,2835.72,2104.21,2891.53,4520.12,0.1459
gompertz,10,2035,3029.51,2213.93,3108.38,5006.2,0.1459
bass,1,2026,1072.03,824.864,1069.74,1361.32,0.0473
bass,2,2027,1022.74,726.464,1005.78,1420.95,0.0473
bass,3,2028,928.203,607.586,910.506,1416.43,0.0473
bass,4,2029,805.015,480.836,790.515,1351.44,0.0473
bass,5,2030,671.141,370.321,660.362,1230.67,0.0473
bass,6,2031,541.35,277.705,533.633,1074.52,0.0473
bass,7,2032,425.141,201.391,416.788,931.724,0.0473
bass,8,2033,326.924,146.249,318.361,785.156,0.0473
bass,9,2034,247.35,104.966,240.449,645.876,0.0473
bass,10,2035,184.857,74.0649,179.044,520.843,0.0473
qaicc_average,1,2026,1285.18,1060.17,1285.18,1549.29,1
qaicc_average,2,2027,1432.81,1093.3,1432.81,1861.27,1
qaicc_average,3,2028,1584.89,1057.87,1584.89,2236.15,1
qaicc_average,4,2029,1738.93,1021.39,1738.93,2727.23,1
qaicc_average,5,2030,1895.29,895.388,1895.29,3314.25,1
qaicc_average,6,2031,2058.14,829.544,2058.14,4030.92,1
qaicc_average,7,2032,2241.27,779.807,2241.27,4908.98,1
qaicc_average,8,2033,2431.09,661.452,2431.09,5987.88,1
qaicc_average,9,2034,2602.53,565.155,2602.53,7337.91,1
qaicc_average,10,2035,2801.67,543.64,2801.67,9014.96,1
