model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,1,2026,351.289,320.027,350.552,381.255,0.5750
exponential,2,2027,447.166,404.959,446.807,488.249,0.5750
exponential,3,2028,569.21,508.32,568.17,627.497,0.5750
exponential,4,2029,724.565,640.307,724.072,807.628,0.5750
exponential,5,2030,922.32,807.663,922.081,1043.16,0.5750
exponential,6,2031,1174.05,1018.64,1171.93,1347.06,0.5750
exponential,7,2032,1494.48,1279.88,1491.2,1739.45,0.5750
exponential,8,2033,1902.37,1607.92,1903.58,2239.55,0.5750
exponential,9,2034,2421.58,2020.04,2421.58,2876.59,0.5750
exponential,10,2035,3082.5,2537.8,3082.39,3704.47,0.5750
logistic,1,2026,351.289,323.899,353.669,381.943,0.1457
logistic,2,2027,447.166,408.474,450.125,491.023,0.1457
logistic,3,2028,569.21,513.505,573.555,630.78,0.1457
logistic,4,2029,724.565,645.495,728.658,811.066,0.1457
logistic,5,2030,922.32,811.514,931.656,1042.67,0.1457
logistic,6,2031,1174.05,1023.75,1188.8,1340.43,0.1457
logistic,7,2032,1494.48,1290.7,1511.8,1719.74,0.1457
logistic,8,2033,1902.37,1626.66,1927.88,2214.67,0.1457
logistic,9,2034,2421.58,2050.07,2451.16,2846.8,0.1457
logistic,10,2035,3082.5,2582.73,3117.6,3676.79,0.1457
gompertz,1,2026,350.156,330.191,349.34,375.584,0.1335
gompertz,2,2027,445.009,413.344,443.626,482.732,0.1335
gompertz,3,2028,565.441,522.892,563.114,617.899,0.1335
gompertz,4,2029,718.319,657.537,714.135,793.66,0.1335
gompertz,5,2030,912.343,833.998,907.068,1019.46,0.1335
gompertz,6,2031,1158.54,1054.64,1151.63,1309.22,0.1335
gompertz,7,2032,1470.87,1325.88,1462.38,1680.92,0.1335
gompertz,8,2033,1867.02,1664.86,1856.26,2162.65,0.1335
gompertz,9,2034,2369.39,2090.24,2355.75,2782.9,0.1335
gompertz,10,2035,3006.32,2623.94,2989.03,3580.26,0.1335
bass,1,2026,351.289,324.719,351.471,380.559,0.1457
bass,2,2027,447.166,410.163,446.231,490.036,0.1457
bass,3,2028,569.21,515.914,568.185,630.501,0.1457
bass,4,2029,724.565,647.832,722.927,809.459,0.1457
bass,5,2030,922.32,817.13,916.971,1039.94,0.1457
bass,6,2031,1174.05,1027.88,1167.73,1339.54,0.1457
bass,7,2032,1494.48,1293.09,1489.69,1727,0.1457
bass,8,2033,1902.37,1620.36,1886.59,2224.1,0.1457
bass,9,2034,2421.58,2029.34,2396.51,2870.29,0.1457
bass,10,2035,3082.5,2545.14,3048.53,3704.22,0.1457
qaicc_average,1,2026,351.671,331.355,351.671,371.525,1
qaicc_average,2,2027,448.558,419.853,448.558,473.396,1
qaicc_average,3,2028,571.681,532.008,571.681,606.896,1
qaicc_average,4,2029,727.587,674.115,727.587,778.722,1
qaicc_average,5,2030,926.731,854.309,926.731,1000.45,1
qaicc_average,6,2031,1180.12,1081.98,1180.12,1281.23,1
qaicc_average,7,2032,1504.34,1368.85,1504.34,1643.99,1
qaicc_average,8,2033,1915.45,1723.08,1915.45,2110.38,1
qaicc_average,9,2034,2442.6,2177.13,2442.6,2709.06,1
qaicc_average,10,2035,3105.67,2754.1,3105.67,3480.81,1
