model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,3,2028,9966.48,8726.96,9950.2,11420.6,0.0830
exponential,5,2030,16639,14250.1,16618,19495.8,0.0830
exponential,7,2032,27778.8,23250.7,27763.8,33410.7,0.0830
exponential,10,2035,59922.7,48291.7,59900.4,75271.5,0.0830
logistic,3,2028,6363.9,4668.48,6349.37,9935.91,0.2957
logistic,5,2030,7551.47,5068.3,7487.8,15268.1,0.2957
logistic,7,2032,8408.53,5314.1,8290.71,22336.1,0.2957
logistic,10,2035,9154.27,5501.74,9067.89,34127.3,0.2957
gompertz,3,2028,7919.85,6375.16,7870.51,9971.26,0.4084
gompertz,5,2030,11493.9,8550.49,11453.4,15825.8,0.4084
gompertz,7,2032,16309.3,11156,16262.9,25057.1,0.4084
gompertz,10,2035,26505.1,15815.1,26329.3,48465.2,0.4084
bass,3,2028,6146.99,3822.06,6043.78,10200.4,0.2129
bass,5,2030,6474.22,3105.14,6287.73,16844.7,0.2129
bass,7,2032,5760.3,2196.49,5463.66,26613,0.2129
bass,10,2035,3680.97,1064.3,3438.48,48665.2,0.2129
qaicc_average,3,2028,8466.28,5996.17,8466.28,10303.2,1
qaicc_average,5,2030,12775.4,7197.96,12775.4,17218,1
qaicc_average,7,2032,19194.8,8241.1,19194.8,28682.8,1
qaicc_average,10,2035,35872.1,10232.4,35872.1,62284.5,1
