model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,3,2028,22.2019,18.5765,22.1616,26.5278,0.0000
exponential,5,2030,31.5487,25.5914,31.4535,38.9812,0.0000
exponential,7,2032,44.8305,35.246,44.6865,57.3532,0.0000
exponential,10,2035,75.9381,56.7586,75.7358,102.394,0.0000
logistic,3,2028,12.388,11.7177,12.3947,13.124,0.9991
logistic,5,2030,12.8005,12.0288,12.8163,13.6689,0.9991
logistic,7,2032,13.0264,12.1926,13.0483,13.9678,0.9991
logistic,10,2035,13.1842,12.3023,13.203,14.1996,0.9991
gompertz,3,2028,15.6934,14.0113,15.6883,17.7058,0.0009
gompertz,5,2030,18.2957,15.8556,18.2817,21.3892,0.0009
gompertz,7,2032,20.8584,17.5918,20.8706,25.3175,0.0009
gompertz,10,2035,24.5202,19.7521,24.511,31.378,0.0009
qaicc_average,3,2028,13.0735,12.1366,13.0735,14.7414,1
qaicc_average,5,2030,13.8961,12.5802,13.8961,16.7504,1
qaicc_average,7,2032,14.5791,12.8761,14.5791,18.5852,1
qaicc_average,10,2035,15.4343,13.1201,15.4343,21.7262,1
