model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,3,2028,9966.48,8724.36,9967.77,11420.8,0.0830
exponential,5,2030,16639,14315.7,16647.6,19430.6,0.0830
exponential,7,2032,27778.8,23440.2,27817,33314.6,0.0830
exponential,10,2035,59922.7,49093.9,59886.9,74820,0.0830
logistic,3,2028,6363.9,4732.26,6360.19,9785.58,0.2957
logistic,5,2030,7551.47,5162.86,7552.27,14612.4,0.2957
logistic,7,2032,8408.53,5416.13,8468.93,21788,0.2957
logistic,10,2035,9154.27,5603.55,9333.98,33635.7,0.2957
gompertz,3,2028,7919.85,6395.3,7907.64,9967.55,0.4084
gompertz,5,2030,11493.9,8657.71,11537.9,16082.2,0.4084
gompertz,7,2032,16309.3,11262.4,16454.9,25633.4,0.4084
gompertz,10,2035,26505.1,16124.5,26593.1,49545.8,0.4084
bass,3,2028,6146.99,3735.72,6040.34,10144.3,0.2129
bass,5,2030,6474.22,2959.41,6321.1,16037.2,0.2129
bass,7,2032,5760.3,1977.83,5482.22,25461.1,0.2129
bass,10,2035,3680.97,908.203,3407.42,52694.3,0.2129
qaicc_average,3,2028,8612.45,6019.62,8612.45,10441.3,1
qaicc_average,5,2030,13203.3,7050.81,13203.3,17292.3,1
qaicc_average,7,2032,19983,7416.04,19983,29008.7,1
qaicc_average,10,2035,37206.8,9197.83,37206.8,63288.2,1
