model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,3,2028,1.48453,1.31334,1.48669,1.67895,0.0003
exponential,5,2030,2.42549,2.09859,2.42251,2.80432,0.0003
exponential,7,2032,3.96286,3.35361,3.95196,4.67985,0.0003
exponential,10,2035,8.27606,6.76705,8.24714,10.1143,0.0003
logistic,3,2028,0.863704,0.7706,0.863226,0.995432,0.9591
logistic,5,2030,0.968521,0.840618,0.966986,1.17994,0.9591
logistic,7,2032,1.03525,0.880627,1.03432,1.30769,0.9591
logistic,10,2035,1.08725,0.909725,1.08807,1.40809,0.9591
gompertz,3,2028,1.16531,1.03448,1.17015,1.3395,0.0405
gompertz,5,2030,1.63907,1.38327,1.65309,2.01038,0.0405
gompertz,7,2032,2.2512,1.82131,2.27874,2.96753,0.0405
gompertz,10,2035,3.47787,2.63556,3.53869,5.17398,0.0405
qaicc_average,3,2028,1.08192,0.863447,1.08192,1.3123,1
qaicc_average,5,2030,1.46748,1.02019,1.46748,2.02316,1
qaicc_average,7,2032,1.96133,1.17361,1.96133,3.07899,1
qaicc_average,10,2035,2.9568,1.44534,2.9568,5.88191,1
