model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,3,2028,27.2407,23.6898,27.2518,31.1346,0.0001
exponential,5,2030,42.6484,36.373,42.7256,50.0669,0.0001
exponential,7,2032,66.7711,55.5985,66.992,80.6327,0.0001
exponential,10,2035,130.803,104.736,131.574,164.816,0.0001
logistic,3,2028,15.5937,13.7655,15.6886,18.2564,0.9580
logistic,5,2030,17.0166,14.6829,17.1676,20.7995,0.9580
logistic,7,2032,17.8946,15.1818,18.0897,22.4126,0.9580
logistic,10,2035,18.5695,15.5233,18.7822,23.7423,0.9580
gompertz,3,2028,20.6747,18.2454,20.7803,23.5215,0.0419
gompertz,5,2030,27.3952,23.2681,27.7321,32.5445,0.0419
gompertz,7,2032,35.4195,28.9922,35.7646,44.0317,0.0419
gompertz,10,2035,49.9581,37.9717,50.5663,66.7243,0.0419
qaicc_average,3,2028,19.5587,16.3757,19.5587,24.1972,1
qaicc_average,5,2030,25.2004,18.5912,25.2004,35.4581,1
qaicc_average,7,2032,32.0566,20.6701,32.0566,51.2911,1
qaicc_average,10,2035,44.9025,24.2828,44.9025,94.4041,1
