model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,4,2028,9690.78,8081.66,9606.31,11534.6,0.0000
exponential,6,2030,16090.8,13031.9,15939.4,19738.9,0.0000
exponential,8,2032,26717.4,20979.9,26433.5,33777.9,0.0000
exponential,11,2035,57163.9,42759.7,56394.1,75718.9,0.0000
logistic,4,2028,3985.54,3442.81,3973.76,4767.44,0.5580
logistic,6,2030,4219.87,3572.82,4202.67,5206.3,0.5580
logistic,8,2032,4347.18,3632.37,4326.42,5461.41,0.5580
logistic,11,2035,4433.26,3673.75,4418.84,5650.62,0.5580
gompertz,4,2028,6402.56,5295.37,6425.7,7867.44,0.0025
gompertz,6,2030,8641.27,6760.36,8683.94,11406.3,0.0025
gompertz,8,2032,11352,8367.63,11398.5,16205.6,0.0025
gompertz,11,2035,16334.8,11000.6,16425.4,26319.4,0.0025
bass,4,2028,2647.42,1883.19,2603.59,3848.81,0.4395
bass,6,2030,1869.15,1180.99,1826.47,3141.23,0.4395
bass,8,2032,1154.21,661.108,1122.77,2191.14,0.4395
bass,11,2035,484.095,248.047,466.115,1043.24,0.4395
qaicc_average,4,2028,4248.42,2731.96,4248.42,6362.13,1
qaicc_average,6,2030,4707.21,2260.44,4707.21,8902.61,1
qaicc_average,8,2032,5192.51,1840.41,5192.51,12207,1
qaicc_average,11,2035,6301.69,1498.95,6301.69,20935.6,1
