model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,4,2028,26.36,21.3211,26.4436,32.4721,0.0000
exponential,6,2030,38.6914,30.2506,38.8665,49.4414,0.0000
exponential,8,2032,56.7915,42.9507,57.1605,75.316,0.0000
exponential,11,2035,100.992,72.6213,101.883,141.133,0.0000
logistic,4,2028,12.1585,11.1995,12.1571,13.288,0.9966
logistic,6,2030,12.5362,11.4491,12.535,13.8484,0.9966
logistic,8,2032,12.7408,11.5875,12.7303,14.1918,0.9966
logistic,11,2035,12.8822,11.6823,12.8729,14.432,0.9966
gompertz,4,2028,17.1887,14.3563,17.1547,20.8283,0.0034
gompertz,6,2030,20.5187,16.4384,20.4414,26.1951,0.0034
gompertz,8,2032,23.9425,18.4253,23.8678,32.3612,0.0034
gompertz,11,2035,29.0999,21.0001,28.9795,43.1732,0.0034
qaicc_average,4,2028,13.1308,11.6865,13.1308,16.1738,1
qaicc_average,6,2030,14.0468,12.1158,14.0468,19.4023,1
qaicc_average,8,2032,14.9169,12.4141,14.9169,23.1217,1
qaicc_average,11,2035,16.0788,12.6803,16.0788,30.8321,1
