model,horizon_years,year,point,q05,q50,q95,qaicc_weight
logistic,3,2028,6363.9,4667.69,6362.69,10006.5,0.3225
logistic,5,2030,7551.47,5084.3,7509.95,14800.9,0.3225
logistic,7,2032,8408.53,5335.58,8372.64,21046.9,0.3225
logistic,10,2035,9154.27,5487.3,9088.56,31317.9,0.3225
gompertz,3,2028,7919.85,6387.65,7950.07,10272,0.4454
gompertz,5,2030,11493.9,8658.06,11533.6,16530.1,0.4454
gompertz,7,2032,16309.3,11277.8,16411.2,26291.9,0.4454
gompertz,10,2035,26505.1,16065.8,26747.7,51453,0.4454
bass,3,2028,6146.99,3868.2,6134.09,10306.1,0.2321
bass,5,2030,6474.22,3130.23,6508.5,16915.5,0.2321
bass,7,2032,5760.3,2143.83,5858.76,27409.1,0.2321
bass,10,2035,3680.97,1013.47,3742.97,50751.3,0.2321
qaicc_average,3,2028,7133.03,5214.99,7133.03,9502.47,1
qaicc_average,5,2030,9443.48,5408.88,9443.48,14716.7,1
qaicc_average,7,2032,12051.2,5137.12,12051.2,22335.5,1
qaicc_average,10,2035,17058,4055.59,17058,42252.9,1
