model,horizon_years,year,point,q05,q50,q95,qaicc_weight
exponential,3,2028,22.2019,18.4882,22.1176,26.7692,0.0000
exponential,5,2030,31.5487,25.4619,31.4041,39.3535,0.0000
exponential,7,2032,44.8305,35.1243,44.5807,57.9776,0.0000
exponential,10,2035,75.9381,56.5537,75.4888,103.605,0.0000
logistic,3,2028,12.388,11.7411,12.3981,13.1748,0.9991
logistic,5,2030,12.8005,12.0659,12.817,13.7381,0.9991
logistic,7,2032,13.0264,12.2349,13.0489,14.0594,0.9991
logistic,10,2035,13.1842,12.3419,13.2106,14.3092,0.9991
gompertz,3,2028,15.6934,14.0515,15.7509,17.6799,0.0009
gompertz,5,2030,18.2957,15.9033,18.3876,21.4064,0.0009
gompertz,7,2032,20.8584,17.6179,21.0367,25.3019,0.0009
gompertz,10,2035,24.5202,19.8492,24.7301,31.3647,0.0009
qaicc_average,3,2028,13.127,12.1331,13.127,14.8556,1
qaicc_average,5,2030,14.0038,12.552,14.0038,16.9693,1
qaicc_average,7,2032,14.7159,12.8285,14.7159,18.9781,1
qaicc_average,10,2035,15.6263,13.0554,15.6263,22.6523,1
